kp_id,kp_url,kp_full_name,name,vote_date,vote
707407,https://www.kinopoisk.ru/film/707407/,Викинг (2016), ,08.01.2018,5
471158,https://www.kinopoisk.ru/film/471158/,Выкрутасы (2010), ,08.01.2018,4
931677,https://www.kinopoisk.ru/film/931677/,Дюнкерк (2017),Dunkirk,06.01.2018,5
841263,https://www.kinopoisk.ru/film/841263/,Стражи Галактики. Часть 2 (2017),Guardians of the Galaxy Vol. 2,30.12.2017,7
840261,https://www.kinopoisk.ru/film/840261/,Кухня. Последняя битва (2017), ,02.12.2017,3
690593,https://www.kinopoisk.ru/film/690593/,Человек-паук: Возвращение домой (2017),Spider-Man: Homecoming,27.11.2017,7
184417,https://www.kinopoisk.ru/film/184417/,Пила 3 (2006),Saw III,26.11.2017,5
839818,https://www.kinopoisk.ru/film/839818/,Экипаж (2016), ,20.11.2017,5
86206,https://www.kinopoisk.ru/film/86206/,Пила 2 (2005),Saw II,07.11.2017,7
840250,https://www.kinopoisk.ru/film/840250/,Притяжение (2017), ,04.11.2017,4
